id,InstitutionName,Country,Year,total
184,Peking University Library,China - People<U+2019>s Republic,2015,3352
185,Uio Universitetsbiblioteket,Norway,2015,3347
186,Staats- und Universit<U+00E4>tsbibliothek Bremen,Germany,2015,3343
187,Universit<U+00E4>t Heidelberg,Germany,2015,3340
188,Universit<U+00E4>t Mannheim,Germany,2015,3328
189,ACDI-CIDA,Canada,2016,3324
190,UN Consortium - UNOG,United States,2016,3310
191,UNIVERSITY OF WISCONSIN LIBRARIES,United States,2015,3287
192,The Bank of Korea,Korea - Republic of,2016,3284
193,Special Press and Journalist Access,France,2014,3266
194,Universit<U+00E4>t Mannheim,Germany,2016,3261
195,European Central Bank - ECB,Germany,2015,3253
196,UNIVERSITY OF CALIFORNIA BERKELEY,United States,2016,3250
197,Johns Hopkins University,United States,2015,3236
198,University of Stellenbosch,South Africa,2016,3226
199,LA TROBE UNIVERSITY LIBRARY,Australia,2016,3224
200,Carleton University Library,Canada,2015,3221
201,University College Dublin,Ireland,2015,3189
202,KOREA UNIVERSITY Central Library,Korea - Republic of,2016,3188
203,London School of Economics and Political Science,United Kingdom,2014,3174
204,University of Stellenbosch,South Africa,2015,3170
205,Renmin University of China,China - People<U+2019>s Republic,2014,3158
206,University of Sheffield,United Kingdom,2016,3154
207,BCW Gruppe,Germany,2015,3137
208,Sistema Bibliotecario d'Ateneo - Universit<U+00E0> di Bologna,Italy,2015,3132
209,Victoria University of Wellington,New Zealand,2015,3129
210,HEC MONTREAL,Canada,2016,3097
211,VGLS,Australia,2016,3095
212,Dutch Government - Rijksweb,Netherlands,2014,3090
213,Bibliothekssystem Uni Hamburg,Germany,2015,3078
214,Universiteit Utrecht,Netherlands,2016,3077
215,GEORGETOWN UNIVERSITY LIBRARY,United States,2015,3076
216,UZH Hauptbibliothek / Zentralbibliothek Z<U+00FC>rich,Switzerland,2016,3062
217,VGLS,Australia,2015,3050
218,The Library | University of Bath,United Kingdom,2015,3049
219,Uppsala University Library,Sweden,2016,3043
220,The Chinese University of Hong Kong,Hong Kong - China,2015,3042
221,ACDI-CIDA,Canada,2015,3040
222,Australian Taxation Office,Australia,2016,3039
223,University of Calgary,Canada,2015,3032
224,Institut der deutschen Wirtschaft K<U+00F6>ln,Germany,2015,3029
225,Fraunhofer-Anwendungszentrum f<U+00FC>r Systemtechnik AST,Germany,2014,3014
226,UNIVERSITY OF OTTAWA,Canada,2016,3013
227,Universit<U+00E9> de Gen<U+00E8>ve,Switzerland,2015,3011
228,Pennsylvania State University,United States,2016,3006
229,IEA Paris,France,2015,2995
230,ETH Zuerich,Switzerland,2015,2992
231,Hellenic Statistical Authority,Greece,2015,2984
232,KEIO UNIVERSITY,Japan,2016,2982
233,Regeringskansliet,Sweden,2016,2979
234,Hong Kong Public Libraries,Hong Kong - China,2014,2957
235,Corvinus University of Budapest,Hungary,2016,2945
236,Dept of Finance & Treasury Board,Canada,2016,2941
237,Universit<U+00E4>t Sankt Gallen,Switzerland,2015,2940
238,Deutsche Gesellschaft f<U+00FC>r Internationale Zusammenarbeit (GIZ),Germany,2015,2936
239,Victoria University of Wellington,New Zealand,2016,2931
240,UNIVERSITY OF WARWICK,United Kingdom,2016,2922
241,Biblioteka Szkoly Gl<U+00F3>wnej Handlowej w Warszawie,Poland,2015,2920
242,Universit<U+00E4>t Erlangen-Nuernberg,Germany,2015,2916
243,University of Notthingham,United Kingdom,2015,2913
244,Staats- und Universit<U+00E4>tsbibliothek Bremen,Germany,2016,2907
245,Direktorat Jenderal Anggaran - Directorate General of Budget,Indonesia,2015,2904
246,City - University of London,United Kingdom,2015,2893
247,Beijing Normal University Library,China - People<U+2019>s Republic,2016,2878
248,Yonsei University Library,Korea - Republic of,2016,2877
249,RANEPA,Russian Federation,2015,2867
250,US Department of State,United States,2016,2864
251,Universit<U+00E4>t Duisburg-Essen,Germany,2015,2861
252,King's College London,United Kingdom,2015,2860
253,Universitaet Leipzig,Germany,2014,2860
254,UN - International Labour Organization ILO,Switzerland,2016,2856
255,University of Oslo Library,Norway,2016,2854
256,Korea Institute of Public Finance - KIPF,Korea - Republic of,2016,2838
257,Universit<U+00E4>t Duisburg-Essen,Germany,2016,2835
258,University Library of Southern Denmark,Denmark,2015,2825
259,UNIVERSITE LAVAL,Canada,2016,2816
260,University of Wollongong,Australia,2016,2816
261,Tel Aviv University,Israel,2015,2777
262,The Chinese University of Hong Kong,Hong Kong - China,2016,2773
263,RYERSON UNIVERSITY,Canada,2016,2767
264,Universidad Complutense de Madrid,Spain,2015,2762
265,George Washington University,United States,2015,2760
266,M I T Libraries,United States,2016,2760
267,Universite de Lausanne,Switzerland,2015,2760
268,YORK UNIVERSITY LIBRARIES,Canada,2015,2759
269,UNIVERSITE DE SHERBROOKE,Canada,2016,2758
270,Republic of Turkey Prime Ministry State Planning Org,Turkey,2016,2743
271,University of Adelaide Library,Australia,2015,2740
272,Universidad de Valencia,Spain,2015,2730
273,Universit<U+00E9> Paris 1 Panth<U+00E9>on-Sorbonne,France,2016,2721
274,Corvinus University of Budapest,Hungary,2015,2715
275,Duke University Libraries,United States,2015,2707
276,BCW Gruppe,Germany,2016,2703
277,Flinders University of South Australia,Australia,2016,2693
278,RANEPA,Russian Federation,2014,2688
279,Tokyo University Sogo Toshokan,Japan,2016,2687
280,University of Sussex,United Kingdom,2015,2685
281,Universit<U+00E9> de Gen<U+00E8>ve,Switzerland,2016,2678
282,Universit<U+00E4>t Bochum,Germany,2016,2677
283,YORK UNIVERSITY LIBRARIES,Canada,2016,2671
284,University of Pennsylvania,United States,2015,2661
285,Nieders<U+00E4>chsische Staats- und Universit<U+00E4>tsbibliothek G<U+00F6>ttingen,Germany,2015,2658
286,Industry Canada Library,Canada,2016,2655
287,Universit<U+00E9> libre de Bruxelles,Belgium,2016,2651
288,Sciences Po,France,2014,2649
289,ASIAN DEVELOPMENT BANK,Philippines,2015,2646
290,Universit<U+00E4>t Sankt Gallen,Switzerland,2016,2646
291,Ankara Universitesi,Turkey,2016,2645
292,Australian Taxation Office,Australia,2015,2641
293,National Diet Library,Japan,2016,2640
294,UNESCO,France,2016,2640
295,Nieders<U+00E4>chsische Staats- und Universit<U+00E4>tsbibliothek G<U+00F6>ttingen,Germany,2016,2639
296,University of Sussex,United Kingdom,2016,2639
297,Commonwealth Secretariat,United Kingdom,2016,2637
298,ITESM-Biblioteca Consort,Mexico,2015,2632
299,Stanford University,United States,2015,2626
300,The University of Manchester Library,United Kingdom,2014,2623
301,ASIAN DEVELOPMENT BANK,Philippines,2016,2622
302,McGill University Library,Canada,2016,2620
303,University of Calgary,Canada,2016,2605
304,University Library of Southern Denmark,Denmark,2016,2603
305,Deutsche Gesellschaft f<U+00FC>r Internationale Zusammenarbeit (GIZ),Germany,2016,2602
306,Gazi University Library,Turkey,2015,2602
307,University of Maryland,United States,2015,2602
308,Bishop's University,Canada,2015,2601
309,Macquarie University Library,Australia,2015,2600
310,Griffith University,Australia,2015,2596
311,Gie Ernst & Young,France,2014,2575
312,UCL Bibliotheques,Belgium,2016,2574
313,Hellenic Statistical Authority,Greece,2016,2565
314,Seoul National University,Korea - Republic of,2014,2562
315,Bibliothekssystem Uni Hamburg,Germany,2016,2560
316,University of Birmingham,United Kingdom,2015,2559
317,UNIVERSITE DE RENNES I,France,2015,2552
318,University of Hong Kong Libraries,Hong Kong - China,2016,2550
319,University of Newcastle,United Kingdom,2015,2550
320,Peking University Library,China - People<U+2019>s Republic,2016,2549
321,Universit<U+00E4>t Bochum,Germany,2015,2540
322,UNIVERSITY OF ALBERTA,Canada,2014,2536
323,University of Glasgow Library,United Kingdom,2014,2535
324,GEORGETOWN UNIVERSITY LIBRARY,United States,2016,2526
325,SWINBURNE UNIVERSITY OF TECHNOLOGY,Australia,2016,2519
326,Macquarie University Library,Australia,2016,2515
327,Universidad Complutense de Madrid,Spain,2016,2515
328,King's College London,United Kingdom,2016,2512
329,University of International Business and Economics (UIBE),China - People<U+2019>s Republic,2016,2511
330,Ministries and Government Institutions of Lithuania,Lithuania,2016,2509
331,Universite de Lausanne,Switzerland,2016,2508
332,Queen's University,Canada,2015,2505
333,Universidad de Guadalajara,Mexico,2015,2502
334,KU Leuven University Library,Belgium,2014,2501
335,ProQuest,United States,2015,2495
336,Universidade Federal de Ouro Preto,Brazil,2016,2488
337,Ritsumeikan University,Japan,2016,2484
338,HM Treasury,United Kingdom,2015,2480
339,UNIVERSITY OF MICHIGAN,United States,2015,2480
340,University of Liverpool,United Kingdom,2015,2480
341,Universit<U+00E4>t Erlangen-Nuernberg,Germany,2016,2474
342,Pontificia Universidad Catolica de Chile,Chile,2016,2461
343,Korea Institute for Health & Social Affairs,Korea - Republic of,2015,2460
344,UNIVERSITE DU QUEBEC A MONTREAL,Canada,2014,2457
345,Indiana University,United States,2015,2454
346,UN - ECLAC Library - CEPAL,Chile,2015,2454
347,McGill University Library,Canada,2015,2452
348,Statistisches Bundesamt,Germany,2016,2452
349,Sistema Bibliotecario d'Ateneo - Universit<U+00E0> di Bologna,Italy,2016,2447
350,IEA Paris,France,2016,2443
351,ULg - Biblioth<U+00E8>que L Graulich,Belgium,2016,2439
352,UNIVERSITY OF HELSINKI /Helsinki University Library,Finland,2016,2432
353,ETH Zuerich,Switzerland,2016,2428
354,Radboud Universiteit Nijmegen,Netherlands,2016,2423
355,Waseda University,Japan,2016,2412
356,Banca d'Italia,Italy,2015,2409
357,UNIVERSITE DE SHERBROOKE,Canada,2015,2394
358,UNESCO,France,2015,2393
359,UCL LIBRARY,United Kingdom,2014,2389
360,WIFO - <U+00D6>sterreichisches Institut f<U+00FC>r Wirtschaftsforschung,Austria,2015,2387
361,Institute of Scientific & Technical Information of China (ISTIC),China - People<U+2019>s Republic,2015,2376
362,Department of Trade and Industry,South Africa,2016,2373
363,Max-Planck-Gesellschaft,Germany,2015,2367
364,Middle East Technical University Library,Turkey,2015,2362
365,Universiteit Gent,Belgium,2015,2361
366,UCL Bibliotheques,Belgium,2015,2355
367,ifo Institut f<U+00FC>r Wirtschaftsforschung,Germany,2015,2352
368,Universit<U+00E0> Cattolica del Sacro Cuore,Italy,2016,2348
369,UNIVERSITY OF WASHINGTON,United States,2015,2347
370,University of Notthingham,United Kingdom,2016,2347
371,University of Minnesota Libraries,United States,2015,2345
372,DEUTSCHER BUNDESTAG - BIBLIOTHEK,Germany,2015,2343
373,ULg - Biblioth<U+00E8>que L Graulich,Belgium,2015,2341
374,ITESM-Biblioteca Consort,Mexico,2016,2340
375,Universit<U+00E4>t Heidelberg,Germany,2016,2332
376,University of Toronto Libraries,Canada,2014,2331
377,Fachhochschulen Schweiz,Switzerland,2014,2315
378,KIM Hohenheim,Germany,2015,2311
379,University of Bern,Switzerland,2015,2309
380,St. Petersburg State University,Russian Federation,2015,2305
381,Stanford University,United States,2016,2294
382,Max-Planck-Gesellschaft,Germany,2016,2287
383,Humboldt-Universit<U+00E4>t zu Berlin - Universit<U+00E4>tsbibliothek,Germany,2015,2285
384,Biblioth<U+00E8>ques de l'ENS Lyon & Lyon 2 & Lyon 3,France,2016,2283
385,Universitat Autonoma de Barcelona,Spain,2016,2271
386,City - University of London,United Kingdom,2016,2267
387,M I T Libraries,United States,2015,2260
388,UNIVERSITY OF WISCONSIN LIBRARIES,United States,2016,2259
389,Curtin University Library,Australia,2015,2253
390,The Hong Kong University of Science and Technology,Hong Kong - China,2015,2253
391,Saechs. Landesbibliothek - Staats- u. Universitaetsbibliothek Dresden (SLUB),Germany,2015,2252
392,Masaryk University,Czech Republic,2015,2250
393,Flinders University of South Australia,Australia,2015,2245
394,UNIVERSITE DE PARIS DAUPHINE,France,2016,2244
395,MAASTRICHT UNIVERSITY LIBRARY,Netherlands,2014,2242
396,University of Bern,Switzerland,2016,2242
397,University of Edinburgh Library,United Kingdom,2015,2241
398,University of Cape Town,South Africa,2015,2237
399,Saechs. Landesbibliothek - Staats- u. Universitaetsbibliothek Dresden (SLUB),Germany,2016,2232
400,Gothenburg University Library,Sweden,2016,2222
401,AALBORG UNIVERSITY LIBRARY,Denmark,2015,2220
402,East China Normal University,China - People<U+2019>s Republic,2016,2218
403,Norwegian University of Science and Technology,Norway,2016,2218
404,University of Sheffield,United Kingdom,2015,2217
405,University of Adelaide Library,Australia,2016,2211
406,Stockholm University Library,Sweden,2016,2210
407,Biblioth<U+00E8>ques de l'ENS Lyon & Lyon 2 & Lyon 3,France,2015,2209
408,Universiteit Antwerpen,Belgium,2015,2209
409,Ege University Library,Turkey,2015,2204
410,Universit<U+00E9> libre de Bruxelles,Belgium,2015,2203
411,KTH Royal Institute of Technology,Sweden,2015,2196
412,UN Consortium - UNHQ Library,United States,2016,2193
413,Wirtschaftsuniversit<U+00E4>t Wien,Austria,2014,2187
414,Gothenburg University Library,Sweden,2015,2186
415,EIB Group - Groupe BEI,Luxembourg,2016,2180
416,UNIVERSITY OF ALBERTA,Canada,2016,2175
417,RWTH Aachen University,Germany,2015,2171
418,Moscow State University - Higher School of Economics,Russian Federation,2014,2159
419,BOSTON UNIVERSITY,United States,2015,2151
420,University of Birmingham,United Kingdom,2016,2151
421,UNIVERSITE GRENOBLE 2 - 3,France,2015,2148
422,Universit<U+00E0> Cattolica del Sacro Cuore,Italy,2015,2134
423,Benem<U+00E9>rita Universidad Aut<U+00F3>noma de Puebla,Mexico,2015,2128
424,Universit<U+00E4>t M<U+00FC>nster - Wirtschaftswissenschaftliche Fakult<U+00E4>t,Germany,2016,2128
425,Library Consortium of Ukraine,Ukraine,2016,2126
426,University of Economics Bratislava,Slovak Republic,2015,2124
427,Radboud Universiteit Nijmegen,Netherlands,2015,2121
428,Universit<U+00E4>t Potsdam,Germany,2015,2116
429,SWINBURNE UNIVERSITY OF TECHNOLOGY,Australia,2015,2104
430,Beijing Normal University Library,China - People<U+2019>s Republic,2015,2103
431,Korea Institute of Public Finance - KIPF,Korea - Republic of,2015,2097
432,University of the Witwatersrand,South Africa,2015,2092
433,Bournemouth University,United Kingdom,2015,2089
434,UN Consortium - WHO Library,United States,2015,2083
435,University of Wollongong,Australia,2015,2083
436,Humboldt-Universit<U+00E4>t zu Berlin - Universit<U+00E4>tsbibliothek,Germany,2016,2075
437,EIB Group - Groupe BEI,Luxembourg,2015,2068
438,UNIVERSITY OF CALIFORNIA LOS ANGELES,United States,2015,2064
439,Mitsubishi Sogo Kenkyujo,Japan,2015,2055
440,Universitaet Mainz - Zentralbibliothek,Germany,2015,2055
441,Wageningen UR Library,Netherlands,2015,2055
442,National University of Ireland,Ireland,2015,2053
443,Institut f<U+00FC>r Arbeitsmarkt-und Berufsforschung,Germany,2015,2041
444,RYERSON UNIVERSITY,Canada,2015,2039
445,COLUMBIA UNIVERSITY,United States,2014,2037
446,Trinity College Dublin,Ireland,2015,2029
447,MCMASTER UNIVERSITY LIBRARY,Canada,2015,2023
448,National Diet Library,Japan,2015,2023
449,Universitaet Leipzig,Germany,2015,2022
450,Benem<U+00E9>rita Universidad Aut<U+00F3>noma de Puebla,Mexico,2016,2021
451,City University of Hong Kong Library,Hong Kong - China,2016,2017
452,University of Cape Town,South Africa,2016,2013
453,St. Petersburg State University,Russian Federation,2014,2011
454,Bank of England,United Kingdom,2015,2008
455,Ministere de l'economie - Ministere du budget,France,2014,2008
456,Zhejiang University Library,China - People<U+2019>s Republic,2015,2004
457,KEDI (Korea Educational Development Institute),Korea - Republic of,2016,2003
458,HONG KONG POLYTECHNIC UNIVERSITY,Hong Kong - China,2015,1996
459,Universit<U+00E4>t Salzburg,Austria,2015,1996
460,University of Liverpool,United Kingdom,2016,1996
461,Universidade de Sao Paulo,Brazil,2015,1995
462,European Central Bank - ECB,Germany,2016,1990
463,National Development Council,Chinese Taipei,2015,1990
464,Durham University,United Kingdom,2015,1988
465,TOTAL SA,France,2015,1984
466,Aarhus University Libraries,Denmark,2014,1983
467,NZ Treasury,New Zealand,2015,1979
468,Chinese Academy of Social Sciences Library,China - People<U+2019>s Republic,2016,1973
469,UNIVERSITY OF WASHINGTON,United States,2016,1973
470,University of the Witwatersrand,South Africa,2016,1971
471,National Taiwan University,Chinese Taipei,2016,1970
472,Imperial College London Library,United Kingdom,2015,1968
473,UN - ECLAC Library - CEPAL,Chile,2016,1967
474,UNIVERSITE DE RENNES I,France,2016,1965
475,University of St Andrews,United Kingdom,2015,1963
476,Universiteit van Tilburg,Netherlands,2015,1962
477,UNIVERSITE DE PARIS X,France,2016,1958
478,University of Western Ontario Libraries,Canada,2015,1957
479,Erasmus University Library,Netherlands,2014,1954
480,Middle East Technical University Library,Turkey,2016,1954
481,Public Health Agency of Canada,Canada,2015,1954
482,Statistisches Bundesamt,Germany,2015,1954
483,University of Hull,United Kingdom,2015,1954
484,Dublin City University,Ireland,2015,1953
485,Tel Aviv University,Israel,2016,1947
486,Universit<U+00E4>t M<U+00FC>nster - Wirtschaftswissenschaftliche Fakult<U+00E4>t,Germany,2015,1947
487,Universidad de Guadalajara,Mexico,2016,1944
488,Glowny Urzad Statystyczny,Poland,2016,1940
489,Technische Informationsbibliothek (TIB),Germany,2015,1931
490,Environment Canada,Canada,2015,1925
491,Ko<U+00E7> University,Turkey,2015,1925
492,University of Pretoria,South Africa,2016,1922
493,Universidad Aut<U+00F3>noma de Madrid,Spain,2015,1921
494,Banca d'Italia,Italy,2016,1920
495,Biblioth<U+00E8>que et Archives nationales du Qu<U+00E9>bec,Canada,2015,1920
496,Cornell University Library,United States,2015,1920
497,Universidad Aut<U+00F3>noma Metropolitana,Mexico,2015,1918
498,RWTH Aachen University,Germany,2016,1916
499,University of Maryland,United States,2016,1912
500,KISTEP,Korea - Republic of,2015,1901
501,Charles University Prague - CERGE,Czech Republic,2015,1895
502,Roskilde University Library,Denmark,2015,1895
503,Biblioteka Szkoly Gl<U+00F3>wnej Handlowej w Warszawie,Poland,2016,1893
504,University of Chicago Library,United States,2015,1892
505,YALE UNIVERSITY,United States,2015,1892
